Type	Path	Name	Last Modified	Created	Size (bytes)
File	C:\Users\tatsu\Documents\for-share\.git\FETCH_HEAD	FETCH_HEAD	2025-05-16 14:34:40	2024-09-04 17:16:45	96
File	C:\Users\tatsu\Documents\for-share\.git\HEAD	HEAD	2024-09-04 17:16:33	2024-09-04 17:16:33	21
Folder	C:\Users\tatsu\Documents\for-share\.git\hooks	hooks	2024-09-04 17:16:14	2024-09-04 17:16:14	-
File	C:\Users\tatsu\Documents\for-share\.git\hooks\applypatch-msg.sample	applypatch-msg.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	478
File	C:\Users\tatsu\Documents\for-share\.git\hooks\commit-msg.sample	commit-msg.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	896
File	C:\Users\tatsu\Documents\for-share\.git\hooks\fsmonitor-watchman.sample	fsmonitor-watchman.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	4726
File	C:\Users\tatsu\Documents\for-share\.git\hooks\post-update.sample	post-update.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	189
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-applypatch.sample	pre-applypatch.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	424
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-commit.sample	pre-commit.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	1649
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-merge-commit.sample	pre-merge-commit.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	416
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-push.sample	pre-push.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	1374
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-rebase.sample	pre-rebase.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	4898
File	C:\Users\tatsu\Documents\for-share\.git\hooks\pre-receive.sample	pre-receive.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	544
File	C:\Users\tatsu\Documents\for-share\.git\hooks\prepare-commit-msg.sample	prepare-commit-msg.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	1492
File	C:\Users\tatsu\Documents\for-share\.git\hooks\push-to-checkout.sample	push-to-checkout.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	2783
File	C:\Users\tatsu\Documents\for-share\.git\hooks\sendemail-validate.sample	sendemail-validate.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	2308
File	C:\Users\tatsu\Documents\for-share\.git\hooks\update.sample	update.sample	2024-09-04 17:16:14	2024-09-04 17:16:14	3650
File	C:\Users\tatsu\Documents\for-share\.git\index	index	2025-05-16 12:01:28	2025-05-16 12:01:28	7271
Folder	C:\Users\tatsu\Documents\for-share\.git\info	info	2024-09-04 17:16:14	2024-09-04 17:16:14	-
File	C:\Users\tatsu\Documents\for-share\.git\info\exclude	exclude	2024-09-04 17:16:14	2024-09-04 17:16:14	240
Folder	C:\Users\tatsu\Documents\for-share\.git\logs	logs	2024-09-04 17:16:33	2024-09-04 17:16:33	-
File	C:\Users\tatsu\Documents\for-share\.git\logs\HEAD	HEAD	2025-05-16 12:01:28	2024-09-04 17:16:33	19733
Folder	C:\Users\tatsu\Documents\for-share\.git\logs\refs	refs	2024-09-04 17:16:33	2024-09-04 17:16:33	-
Folder	C:\Users\tatsu\Documents\for-share\.git\logs\refs\heads	heads	2024-09-04 17:16:33	2024-09-04 17:16:33	-
File	C:\Users\tatsu\Documents\for-share\.git\logs\refs\heads\main	main	2025-05-16 12:01:28	2024-09-04 17:16:33	19733
Folder	C:\Users\tatsu\Documents\for-share\.git\logs\refs\remotes	remotes	2024-09-04 17:16:33	2024-09-04 17:16:33	-
Folder	C:\Users\tatsu\Documents\for-share\.git\logs\refs\remotes\origin	origin	2024-09-04 17:25:40	2024-09-04 17:16:33	-
File	C:\Users\tatsu\Documents\for-share\.git\logs\refs\remotes\origin\HEAD	HEAD	2024-09-04 17:16:33	2024-09-04 17:16:33	189
File	C:\Users\tatsu\Documents\for-share\.git\logs\refs\remotes\origin\main	main	2025-05-16 12:06:02	2024-09-04 17:25:40	19311
Folder	C:\Users\tatsu\Documents\for-share\.git\objects	objects	2025-05-16 14:34:41	2024-09-04 17:16:14	-
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\00	00	2025-04-02 12:56:47	2024-09-06 12:43:01	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\00\028a91a27672b5abf96ab8a266efb8a6eb02e7	028a91a27672b5abf96ab8a266efb8a6eb02e7	2025-04-02 12:56:47	2025-04-02 12:56:47	12185
File	C:\Users\tatsu\Documents\for-share\.git\objects\00\107db8b47011ee62c5779957547f9ff3043d63	107db8b47011ee62c5779957547f9ff3043d63	2024-09-06 12:43:01	2024-09-06 12:43:01	359
File	C:\Users\tatsu\Documents\for-share\.git\objects\00\1cb015f4a6b7a88692966c136e62d8c930b82b	1cb015f4a6b7a88692966c136e62d8c930b82b	2024-09-14 02:32:56	2024-09-14 02:32:56	908
File	C:\Users\tatsu\Documents\for-share\.git\objects\00\57c4a190da5fa2c26ac0445f4152a1e1fff9ed	57c4a190da5fa2c26ac0445f4152a1e1fff9ed	2024-09-09 20:35:30	2024-09-09 20:35:30	151
File	C:\Users\tatsu\Documents\for-share\.git\objects\00\db8a37ddf03fa98fdce099190e7a33b727ee5b	db8a37ddf03fa98fdce099190e7a33b727ee5b	2024-09-10 13:40:19	2024-09-10 13:40:19	146
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\01	01	2025-03-31 12:51:46	2024-09-24 09:05:24	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\01\1801a81e8d8192ca15172d80e5326326798389	1801a81e8d8192ca15172d80e5326326798389	2025-03-31 13:01:39	2025-03-31 12:51:46	1271
File	C:\Users\tatsu\Documents\for-share\.git\objects\01\db22bf5fcb1ff9f54800e178ba6c5eaaa78c34	db22bf5fcb1ff9f54800e178ba6c5eaaa78c34	2024-09-24 09:05:24	2024-09-24 09:05:24	206
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\02	02	2025-05-15 13:08:29	2024-10-25 18:09:04	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\02\218c687367eceb1cb77fa430021679fc9ee597	218c687367eceb1cb77fa430021679fc9ee597	2025-03-31 12:52:58	2025-03-31 12:52:58	1005
File	C:\Users\tatsu\Documents\for-share\.git\objects\02\34db4ff742df5bac65a19d08189a4aea658105	34db4ff742df5bac65a19d08189a4aea658105	2025-05-15 12:09:21	2025-05-14 16:54:02	9180
File	C:\Users\tatsu\Documents\for-share\.git\objects\02\3baf40081a8ae79f1dae67ecbb49b1818ee8b9	3baf40081a8ae79f1dae67ecbb49b1818ee8b9	2025-05-15 13:08:29	2025-05-15 13:08:29	1572
File	C:\Users\tatsu\Documents\for-share\.git\objects\02\46129dbe3395b402ae35db8297f1680700ed59	46129dbe3395b402ae35db8297f1680700ed59	2025-05-14 16:54:02	2025-05-14 16:54:02	919
File	C:\Users\tatsu\Documents\for-share\.git\objects\02\9c864c35dead8e7a8728038125889338e08217	9c864c35dead8e7a8728038125889338e08217	2024-10-25 18:09:04	2024-10-25 18:09:04	16762
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\03	03	2025-05-15 12:16:49	2024-10-09 11:35:41	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\03\83d0cb28944614e4293f409c51b16a47538a3a	83d0cb28944614e4293f409c51b16a47538a3a	2025-03-31 13:01:41	2024-11-06 14:01:16	549
File	C:\Users\tatsu\Documents\for-share\.git\objects\03\ba037e3d08f2be1d78a80d593ec0c143b02364	ba037e3d08f2be1d78a80d593ec0c143b02364	2024-10-09 11:35:41	2024-10-09 11:35:41	1026
File	C:\Users\tatsu\Documents\for-share\.git\objects\03\f593bfd5570d7efc220fb8d01a0f08ce5341b4	f593bfd5570d7efc220fb8d01a0f08ce5341b4	2025-05-15 12:16:49	2025-05-15 12:16:49	1606
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\04	04	2025-04-07 03:46:59	2024-09-10 14:06:26	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\04\7fa492bd7a36dcb02bc3e9fd727b567771986c	7fa492bd7a36dcb02bc3e9fd727b567771986c	2024-09-10 14:06:26	2024-09-10 14:06:26	693
File	C:\Users\tatsu\Documents\for-share\.git\objects\04\bf793fe35d319b6fce4f6f3683faa25e52fd03	bf793fe35d319b6fce4f6f3683faa25e52fd03	2025-04-30 20:17:50	2025-04-07 03:46:59	395
File	C:\Users\tatsu\Documents\for-share\.git\objects\04\d39b289e4cac22164acfc4bc63d955d1387c28	d39b289e4cac22164acfc4bc63d955d1387c28	2024-09-20 10:17:35	2024-09-20 10:17:35	206
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\05	05	2024-09-10 14:06:27	2024-09-10 14:06:27	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\05\59464762f953c0241bdf742df17a5b37982d51	59464762f953c0241bdf742df17a5b37982d51	2024-09-10 14:06:27	2024-09-10 14:06:27	146
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\06	06	2025-04-07 12:31:36	2024-10-07 18:15:33	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\0ec595254bb3f96f321cf9399d7675cd01ca20	0ec595254bb3f96f321cf9399d7675cd01ca20	2024-10-11 15:38:18	2024-10-11 15:38:18	510
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\18210ed7652c13d9af200fd009a5ffc8a986e7	18210ed7652c13d9af200fd009a5ffc8a986e7	2025-04-07 12:31:36	2025-04-07 12:31:36	939
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\68a7197d8ffb4921328a098a01d94c6668c089	68a7197d8ffb4921328a098a01d94c6668c089	2024-11-06 01:35:23	2024-11-06 01:35:23	20478
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\8283116a72896d301a26d81e630ccec92a8157	8283116a72896d301a26d81e630ccec92a8157	2024-10-11 16:20:22	2024-10-11 16:20:22	109
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\c97c637cab7cb631d1036057dc816408112500	c97c637cab7cb631d1036057dc816408112500	2024-10-15 13:24:55	2024-10-15 13:24:55	157
File	C:\Users\tatsu\Documents\for-share\.git\objects\06\dca579fed958ee2e326641744b697ba7267f8f	dca579fed958ee2e326641744b697ba7267f8f	2024-10-07 18:15:33	2024-10-07 18:15:33	158
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\07	07	2025-05-15 20:07:04	2024-09-20 14:47:21	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\07\81911afc910bd949c36c6e459d4839aa3f653f	81911afc910bd949c36c6e459d4839aa3f653f	2025-05-15 20:07:04	2025-05-15 20:07:04	151
File	C:\Users\tatsu\Documents\for-share\.git\objects\07\c86fce3bd7b1ff70f7ab5eb066e81a88e55c8b	c86fce3bd7b1ff70f7ab5eb066e81a88e55c8b	2024-09-20 14:47:21	2024-09-20 14:47:21	206
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\09	09	2024-10-09 11:35:40	2024-10-09 11:35:40	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\09\48c4d568669804a2c586d4ce0f0b4b87b96cf1	48c4d568669804a2c586d4ce0f0b4b87b96cf1	2024-10-09 11:35:40	2024-10-09 11:35:40	157
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\0a	0a	2024-10-25 18:09:00	2024-10-09 11:35:40	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\0a\093792b6112c13995c13aac9a7174294a41c19	093792b6112c13995c13aac9a7174294a41c19	2024-10-09 11:35:40	2024-10-09 11:35:40	317
File	C:\Users\tatsu\Documents\for-share\.git\objects\0a\306e02374b4cefc60b41e229d254bcb828f402	306e02374b4cefc60b41e229d254bcb828f402	2024-10-25 18:09:00	2024-10-25 18:09:00	16069
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\0b	0b	2025-04-03 17:23:41	2025-04-03 17:23:41	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\0b\5c01b7e0b824c47cc5f75a849d80e2c88eed4b	5c01b7e0b824c47cc5f75a849d80e2c88eed4b	2025-04-03 17:23:41	2025-04-03 17:23:41	155
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\0c	0c	2024-10-17 20:22:08	2024-09-10 14:07:06	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\0c\504d618a68b4eb77ae24f089d40d5a9541fbfd	504d618a68b4eb77ae24f089d40d5a9541fbfd	2024-09-13 17:54:47	2024-09-13 17:54:47	154
File	C:\Users\tatsu\Documents\for-share\.git\objects\0c\afc23e158220905c7b1bb2b8835dd4562940a8	afc23e158220905c7b1bb2b8835dd4562940a8	2024-09-10 14:07:06	2024-09-10 14:07:06	691
File	C:\Users\tatsu\Documents\for-share\.git\objects\0c\fb2ba01f2646e4751231e12c538e3be5108fc1	fb2ba01f2646e4751231e12c538e3be5108fc1	2024-10-17 20:22:08	2024-10-17 20:22:08	157
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\0d	0d	2025-03-31 12:51:46	2024-09-27 15:32:32	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\0a4e5f05b29a307bc8fbadc19090512075f891	0a4e5f05b29a307bc8fbadc19090512075f891	2025-03-31 13:01:39	2025-03-31 12:51:46	156
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\1ea6ad36e6ebfec1c5f62db09dcf53da67c317	1ea6ad36e6ebfec1c5f62db09dcf53da67c317	2024-10-11 15:44:56	2024-10-11 15:44:56	814
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\57d4d998dd62c67ee76638a8bde505cb834117	57d4d998dd62c67ee76638a8bde505cb834117	2024-10-22 17:19:09	2024-10-22 17:19:09	604488
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\7c16422db0c1a16b84c2423136494724c08073	7c16422db0c1a16b84c2423136494724c08073	2024-09-27 15:32:32	2024-09-27 15:32:32	236
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\c7bb99c28ad087f4b20a107c82109e05b746ea	c7bb99c28ad087f4b20a107c82109e05b746ea	2024-10-22 17:20:50	2024-10-22 17:20:50	2754
File	C:\Users\tatsu\Documents\for-share\.git\objects\0d\de0fab88d1ab5e061f3f101501b3cea2d9b54b	de0fab88d1ab5e061f3f101501b3cea2d9b54b	2024-10-28 10:46:05	2024-10-28 10:46:05	226
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\0f	0f	2024-10-25 17:30:29	2024-10-25 17:30:29	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\0f\51cf1fadfbade8cc524e1141dbf3bc8463cea6	51cf1fadfbade8cc524e1141dbf3bc8463cea6	2024-10-25 17:30:29	2024-10-25 17:30:29	15099
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\11	11	2025-04-07 03:46:59	2024-10-11 16:17:16	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\11\56a299f8281f2f47ec606f3a1f8b035502949f	56a299f8281f2f47ec606f3a1f8b035502949f	2025-04-30 20:17:50	2025-04-07 03:46:59	559
File	C:\Users\tatsu\Documents\for-share\.git\objects\11\bece8840b7bc7148535a3e320449c3a49ea41b	bece8840b7bc7148535a3e320449c3a49ea41b	2024-10-23 13:04:27	2024-10-23 13:04:27	157
File	C:\Users\tatsu\Documents\for-share\.git\objects\11\eda031cc7f6c540fe2d5cd39966a7d0d0c9569	eda031cc7f6c540fe2d5cd39966a7d0d0c9569	2024-10-11 16:17:16	2024-10-11 16:17:16	94
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\12	12	2025-04-25 18:51:39	2024-10-07 18:15:33	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\12\2c7bcec444b812b87f6784e9b3420eed9dd946	2c7bcec444b812b87f6784e9b3420eed9dd946	2025-04-30 20:17:50	2025-03-31 12:51:48	388541
File	C:\Users\tatsu\Documents\for-share\.git\objects\12\3c68bac062e9aab5a6489fc1dbc191682d354e	3c68bac062e9aab5a6489fc1dbc191682d354e	2024-10-07 18:15:33	2024-10-07 18:15:33	6753
File	C:\Users\tatsu\Documents\for-share\.git\objects\12\7a1d34e277067df06e5a60d15eb1c9dd9ed564	7a1d34e277067df06e5a60d15eb1c9dd9ed564	2025-04-25 18:51:39	2025-04-25 18:51:39	12302
File	C:\Users\tatsu\Documents\for-share\.git\objects\12\ae5ec83ae1049d8369dfa5aa9a31e0ce0802c3	ae5ec83ae1049d8369dfa5aa9a31e0ce0802c3	2024-10-31 16:14:53	2024-10-31 16:14:53	7262
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\13	13	2025-03-31 12:51:45	2025-03-31 12:51:45	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\13\b1bf383ca42c1e9a1368ec2e417b8b51d9dda0	b1bf383ca42c1e9a1368ec2e417b8b51d9dda0	2025-03-31 13:01:39	2025-03-31 12:51:45	156
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\14	14	2025-03-31 12:55:16	2024-09-09 20:16:19	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\14\029f11666726ea1faa4092d02df8f94bae537f	029f11666726ea1faa4092d02df8f94bae537f	2025-03-31 12:55:16	2025-03-31 12:55:16	1006
File	C:\Users\tatsu\Documents\for-share\.git\objects\14\4de4387ab6f6a823116d18ecafbe315c332d0c	4de4387ab6f6a823116d18ecafbe315c332d0c	2024-10-23 00:28:54	2024-10-23 00:28:54	14430
File	C:\Users\tatsu\Documents\for-share\.git\objects\14\d89096aab00a61e52985bc3188eb76a0cda5ce	d89096aab00a61e52985bc3188eb76a0cda5ce	2024-09-09 20:16:19	2024-09-09 20:16:19	152
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\15	15	2024-10-28 19:29:17	2024-09-09 09:55:12	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\15\8680ea691ac12bcff8531cecd07f06a929cd54	8680ea691ac12bcff8531cecd07f06a929cd54	2024-09-09 09:55:12	2024-09-09 09:55:12	360
File	C:\Users\tatsu\Documents\for-share\.git\objects\15\dd7b18c7c28a13c99d62a45e5256bc0892010c	dd7b18c7c28a13c99d62a45e5256bc0892010c	2024-10-28 19:29:17	2024-10-28 19:29:17	521
File	C:\Users\tatsu\Documents\for-share\.git\objects\15\fd46a93be1244174d065bf85adbd690604cbbb	fd46a93be1244174d065bf85adbd690604cbbb	2024-09-20 14:47:21	2024-09-20 14:47:21	412
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\16	16	2025-05-14 16:54:02	2024-09-18 11:05:47	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\16\1a1ec373e51429d962e3c8885e177b338c09f0	1a1ec373e51429d962e3c8885e177b338c09f0	2025-05-14 16:54:02	2025-05-14 16:54:02	158
File	C:\Users\tatsu\Documents\for-share\.git\objects\16\299437156a58d687945f246db6657aa61a094e	299437156a58d687945f246db6657aa61a094e	2024-10-11 15:44:56	2024-10-11 15:38:25	12388
File	C:\Users\tatsu\Documents\for-share\.git\objects\16\37fd4f6963924bca65319b853c442cd004911f	37fd4f6963924bca65319b853c442cd004911f	2024-11-06 01:34:12	2024-11-06 01:34:12	17520
File	C:\Users\tatsu\Documents\for-share\.git\objects\16\c5558f78461e4407cf8b525c2e411e4c82b5da	c5558f78461e4407cf8b525c2e411e4c82b5da	2024-09-18 11:05:47	2024-09-18 11:05:47	4334
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\17	17	2025-03-31 12:51:48	2024-09-05 23:17:04	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\17\1af434cea43d0b1d4967b3e6a4a236045ac440	1af434cea43d0b1d4967b3e6a4a236045ac440	2025-03-31 13:01:40	2025-03-31 12:51:48	1121
File	C:\Users\tatsu\Documents\for-share\.git\objects\17\42711c6d3ca89ef3fe13fa05b97304ac3e83ff	42711c6d3ca89ef3fe13fa05b97304ac3e83ff	2024-11-06 01:34:12	2024-11-06 01:34:12	521
File	C:\Users\tatsu\Documents\for-share\.git\objects\17\44d6bae977819e7ce82cd94614a15e9bb017d9	44d6bae977819e7ce82cd94614a15e9bb017d9	2025-03-31 13:01:39	2025-03-31 12:51:45	1272
File	C:\Users\tatsu\Documents\for-share\.git\objects\17\5641d6ea47b50ae7e7289f3ffb0d0f48d0db4d	5641d6ea47b50ae7e7289f3ffb0d0f48d0db4d	2024-10-15 13:24:55	2024-10-15 13:24:55	12841
File	C:\Users\tatsu\Documents\for-share\.git\objects\17\d2f6adaa43cebe001d808517624caf04a4b211	d2f6adaa43cebe001d808517624caf04a4b211	2024-09-05 23:17:04	2024-09-05 23:17:04	359
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\18	18	2025-05-14 16:54:02	2024-09-10 13:40:19	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\1c035615a58ed056d1793673df794040f08116	1c035615a58ed056d1793673df794040f08116	2024-09-18 11:05:47	2024-09-18 11:05:47	158
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\427b6027cc522863b77cce5dad3f0e4178cd6c	427b6027cc522863b77cce5dad3f0e4178cd6c	2024-10-22 17:42:10	2024-10-22 17:42:10	5941
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\716c3d9259c2a68e3fd87a650100af1e81e3d5	716c3d9259c2a68e3fd87a650100af1e81e3d5	2025-05-14 16:54:02	2025-05-14 16:54:02	900
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\99766d98485c656b8826b70287da10fefde567	99766d98485c656b8826b70287da10fefde567	2024-10-01 20:27:10	2024-10-01 20:27:10	884
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\9db6c9f578ce8a2a2fa8221238d886a0dc1094	9db6c9f578ce8a2a2fa8221238d886a0dc1094	2024-09-12 17:30:27	2024-09-12 17:30:27	106
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\e5582d7324fa6d8051ef49c98288518c225637	e5582d7324fa6d8051ef49c98288518c225637	2024-10-15 21:50:46	2024-10-15 21:50:46	227
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\e7cad8d0bde7cf8efc64365cb67fa1a99f3a89	e7cad8d0bde7cf8efc64365cb67fa1a99f3a89	2025-03-31 13:01:38	2025-03-31 12:51:43	155
File	C:\Users\tatsu\Documents\for-share\.git\objects\18\ff3dd1cec654f1ebe48a500f384c8f71e8cc27	ff3dd1cec654f1ebe48a500f384c8f71e8cc27	2024-09-10 13:40:19	2024-09-10 13:40:19	216
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\19	19	2024-11-01 13:42:03	2024-11-01 13:42:03	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\19\b6f30744d416285cf46f73f03c8a1dd8c7947b	b6f30744d416285cf46f73f03c8a1dd8c7947b	2024-11-01 13:42:03	2024-11-01 13:42:03	155
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\1a	1a	2024-10-30 14:03:12	2024-09-05 23:17:00	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\1a\0f7e293fee68d131e57badfa8e7452d84c489e	0f7e293fee68d131e57badfa8e7452d84c489e	2024-10-30 14:03:12	2024-10-30 14:03:12	521
File	C:\Users\tatsu\Documents\for-share\.git\objects\1a\9bff1f8844b9754ea3d0348b5e18dacdb3cf77	9bff1f8844b9754ea3d0348b5e18dacdb3cf77	2024-09-05 23:17:00	2024-09-05 23:17:00	270
File	C:\Users\tatsu\Documents\for-share\.git\objects\1a\b96edeaf7805af0094924ece20c9c9837de34d	b96edeaf7805af0094924ece20c9c9837de34d	2024-10-11 15:38:23	2024-10-11 15:38:11	157
File	C:\Users\tatsu\Documents\for-share\.git\objects\1a\e475834d98ae00585d1a3dda70b6d71e2508ad	e475834d98ae00585d1a3dda70b6d71e2508ad	2024-09-18 19:40:45	2024-09-18 19:40:45	3080
Folder	C:\Users\tatsu\Documents\for-share\.git\objects\1b	1b	2025-05-15 13:08:29	2025-03-31 12:51:45	-
File	C:\Users\tatsu\Documents\for-share\.git\objects\1b\3d194c85634bb37a2478982cdcbf67212fbbf5	3d194c85634bb37a2478982cdcbf67212fbbf5	2025-05-15 13:08:29	2025-05-15 13:08:29	1422
