社会福祉法人　兵庫県社会福祉事業団,24
社会福祉法人なごや福祉施設協会,24
社会福祉法人ひまわり,24
社会福祉法人ラポール会,24
社会福祉法人愛知慈恵会,24
社会福祉法人小羊会,24
社会福祉法人常陽会,24
社会福祉法人仁風会,24
社会福祉法人瑞祥会,24
社会福祉法人清和会,24
社会福祉法人青藍会,24
社会福祉法人創世福祉事業団,24
社会福祉法人双樹会,24
社会福祉法人徳寿会,24
社会福祉法人豊寿会,24
社会福祉法人緑樹会,24
社会福祉法人緑陽会,24
新日本通産株式会社,24
有限会社あじさい,24
スミリンケアライフ株式会社,23
ベストリハ株式会社,23
医療法人社団　愛友会,23
医療法人社団永生会,23
医療法人豊和会,23
医療法人晴生会,23
医療法人神明会,23
株式会社アルムシステム,23
株式会社インターネットインフィニティー,23
株式会社ウィズ,23
株式会社ケアライフ,23
株式会社さくら,23
株式会社シルバーウッド,23
株式会社スペースケア,23
株式会社セラム,23
株式会社ティーシーエス,23
株式会社なごみ,23
株式会社ニッケ・ケアサービス,23
株式会社はれコーポレーション,23
株式会社ハートフル,23
株式会社フォーユー,23
株式会社ほっとリハビリシステムズ,23
株式会社ホームケアサービス山口,23
株式会社ライフパートナー,23
株式会社わかばケアセンター,23
株式会社星医療酸器,23
社会医療法人　仁厚会,23
社会医療法人美杉会,23
社会福祉法人　愛和会,23
社会福祉法人　至誠学舎立川,23
社会福祉法人　成光苑,23
社会福祉法人　清幸会,23
社会福祉法人　平成福祉会,23
社会福祉法人　洛和福祉会,23
社会福祉法人　緑樹会,23
社会福祉法人みゆき福祉会,23
社会福祉法人愛泉会,23
社会福祉法人安心会,23
社会福祉法人湖成会,23
社会福祉法人三輪会,23
社会福祉法人駿光会,23
社会福祉法人松寿会,23
社会福祉法人唐津福祉会,23
社会福祉法人南東北福祉事業団,23
社会福祉法人芙蓉会,23
社会福祉法人麗沢会,23
社会福祉法人偕生会,23
社会福祉法人神港園,23
新居浜医療福祉生活協同組合,23
生活クラブ生活協同組合,23
けいはん医療生活協同組合,22
テルウェル東日本株式会社,22
テルウェル東日本株式会社,22
医療法人　健康会,22
医療法人いちえ会,22
医療法人財団　明理会,22
医療法人資生会,22
医療法人社団　康心会,22
医療法人社団恵成会,22
医療法人社団三思会,22
医療法人社団青山会,22
医療法人相生会,22
医療法人芙蓉会,22
医療法人偕行会,22
株式会社　愛安住,22
株式会社3eee,22
株式会社アクティ群馬,22
株式会社ケアプランニング,22
株式会社シニアリビング・ネクスト,22
株式会社スイッチオンサービス,22
株式会社なないろ,22
株式会社ハーモニー,22
群馬中央医療生活協同組合,22
公益社団法人京都保健会,22
社会医療法人みゆき会,22
社会医療法人関愛会,22
社会福祉法人　永寿会,22
社会福祉法人　長寿会,22
社会福祉法人　長生会,22
社会福祉法人　緑寿会,22
社会福祉法人あぐりす実の会,22
社会福祉法人きたはりま福祉会,22
社会福祉法人ケアネット,22
社会福祉法人ひとつの会,22
社会福祉法人ぶどうの枝福祉会,22
社会福祉法人みどり会,22
社会福祉法人香東園,22
社会福祉法人慈照会,22
社会福祉法人小田原福祉会,22
社会福祉法人常盤福祉会,22
社会福祉法人新生寿会,22
社会福祉法人正心会,22
社会福祉法人大津市社会福祉事業団,22
社会福祉法人池上長寿園,22
社会福祉法人中蒲原福祉会,22
社会福祉法人虹の会,22
社会福祉法人函館厚生院,22
社会福祉法人眉丈会,22
社会福祉法人明石恵泉福祉会,22
社会福祉法人友和会,22
社会福祉法人福音会,22
田中ケアサービス株式会社,22
特定医療法人社団研精会,22
特定非営利活動法人ラ・シャリテ,22
ＡＬＳＯＫジョイライフ株式会社,21
ＭＣＰ株式会社,21
コウダイケアサービス株式会社,21
スマイルナーシング株式会社,21
セントケア茨城株式会社,21
セントケア和歌山株式会社,21
ぱんぷきん株式会社,21
ピジョン真中株式会社,21
医療法人　秀仁会,21
医療法人　和光会,21
医療法人杏仁会,21
医療法人医仁会,21
医療法人橘会,21
医療法人健康会,21
医療法人財団健和会,21
医療法人社団　三喜会,21
医療法人社団景翠会,21
医療法人社団清山会,21
医療法人社団明日佳,21
医療法人新生会,21
医療法人瑞穂会,21
医療法人徳寿会,21
株式会社　アイシマ,21
株式会社　クローバー,21
株式会社　フロンティア,21
株式会社　リエイ,21
株式会社　元気な介護,21
株式会社ＬｉＮＫ,21
株式会社ＲｅｄＢｅａｒ,21
株式会社Ｓｅｉｗａ,21
株式会社アクティブ,21
株式会社グッドライフ,21
株式会社ケアリング,21
株式会社サービスワン,21
株式会社ジャパンケアサービス,21
株式会社すこやか,21
株式会社テイクオフ,21
株式会社のどか,21
株式会社バイタルケア,21
株式会社ハイメディック,21
株式会社ひまわり,21
株式会社フレンド,21
株式会社マザーライク,21
株式会社ミック・ジャパン,21
株式会社よつば,21
株式会社ライフアシスト,21
株式会社縁,21
株式会社孫の手,21
株式会社不二ビルサービス,21
公益社団法人石川勤労者医療協会,21
公益社団法人福岡医療団,21
香川医療生活協同組合,21
社会医療法人禎心会,21
社会福祉法人　安心会,21
社会福祉法人　協同福祉会,21
社会福祉法人　慶生会,21
社会福祉法人　大樹会,21
社会福祉法人　同仁会,21
社会福祉法人　北養会,21
社会福祉法人あかね,21
社会福祉法人カメリア会,21
社会福祉法人ささゆり会,21
社会福祉法人セイワ,21
社会福祉法人つくし会,21
社会福祉法人つつじ会,21
社会福祉法人にんじんの会,21
社会福祉法人のじぎく福祉会,21
社会福祉法人ポプラ会,21
社会福祉法人一誠福祉会,21
社会福祉法人慶美会,21
社会福祉法人健光園,21
社会福祉法人湖星会,21
社会福祉法人幸寿会,21
社会福祉法人寺田萬寿会,21
社会福祉法人寿宝会,21
社会福祉法人秀生会,21
社会福祉法人十字の園,21
社会福祉法人成光苑,21
社会福祉法人西宮市社会福祉事業団,21
社会福祉法人川福会,21
社会福祉法人長崎厚生福祉団,21
社会福祉法人藤寿会,21
社会福祉法人博光福祉会,21
社会福祉法人優輝福祉会,21
社会福祉法人珀寿会,21
社会福祉法人福祉楽団,21
大阪いずみ市民生活協同組合,21
地域医療機能推進機構,21
中銀インテグレーション株式会社,21
東京保健生活協同組合,21
日本ライフケアソリューションズ株式会社,21
日本ロングライフ株式会社,21
北九州福祉サービス株式会社,21
有限会社のぞみ,21
ＳＯＭＰＯケア　株式会社,20
エフコープ生活協同組合,20
きらり健康生活協同組合,20
ケアウェル安心株式会社,20
シューペルブリアン株式会社,20
スギナーシングケア株式会社,20
みなと医療生活協同組合,20
ユースタイルラボラトリー株式会社,20
医療生活協同組合やまがた,20
医療法人　清和会,20
医療法人おもと会,20
医療法人愛生会,20
医療法人茜会,20
医療法人共和会,20
医療法人財団　百葉の会,20
医療法人三秋会,20
医療法人社団　親和会,20
医療法人社団　福寿会,20
医療法人社団みつわ会,20
医療法人社団松誠会,20
医療法人社団水澄み会,20
医療法人社団白梅会,20
医療法人社団悠愛会,20
医療法人清風会,20
株式会社　双泉メディカルケア,20
株式会社　悠遊社,20
株式会社エール,20
株式会社ケアサポート,20
株式会社サン・ルーム,20
株式会社ジェネラス,20
株式会社デザインケア,20
株式会社ドットライン,20
株式会社らいふ,20
株式会社リアン,20
株式会社青山ケアサポート,20
琴葉株式会社,20
合同会社セレクトエール,20
四国医療サービス株式会社,20
鹿児島医療生活協同組合,20
社会医療法人帰巖会,20
社会医療法人恵仁会,20
社会医療法人恵和会,20
社会医療法人三愛会,20
社会福祉法人　愛光会,20
社会福祉法人　恵和会,20
社会福祉法人　香南会,20
社会福祉法人　七野会,20
社会福祉法人　松寿会,20
社会福祉法人　千寿会,20
社会福祉法人　豊寿会,20
社会福祉法人みどり福祉会,20
社会福祉法人みのり福祉会,20
社会福祉法人むつみ会,20
社会福祉法人安誠福祉会,20
社会福祉法人栄和会,20
社会福祉法人啓和会,20
社会福祉法人至誠会,20
社会福祉法人上伊那福祉協会,20
社会福祉法人青祥会,20
社会福祉法人長寿村,20
社会福祉法人徳和会,20
社会福祉法人八千代美香会,20
社会福祉法人富山城南会,20
社会福祉法人宝寿会,20
社会福祉法人豊の里,20
日総ニフティ株式会社,20
日本リック株式会社,20
有限会社ウィズ,20
和歌山中央医療生活協同組合,20
ＡＬＳＯＫライフサポート株式会社,19
ＫＴＣスマイルケア株式会社,19
インテリジェントヘルスケア株式会社,19
うえろく株式会社,19
シャローム株式会社,19
バンドーウエルフェアグループ株式会社,19
医療法人愛和会,19
医療法人楽山会,19
医療法人協和会,19
医療法人恵雄会,19
医療法人光風会,19
医療法人好縁会,19
医療法人社団　洛和会,19
医療法人社団光仁会,19
医療法人社団慈誠会,19
医療法人新生十全会,19
医療法人生寿会,19
医療法人誠仁会,19
医療法人全心会,19
株式会社　トーカイ,19
株式会社IWASAKI,19
株式会社ＪＡライフサポート,19
株式会社あいの里,19
株式会社アクセス,19
株式会社アール・ケア,19
株式会社エムズ,19
株式会社クオリス,19
株式会社サンライフ,19
株式会社セリオ,19
株式会社トータルライフケア,19
株式会社フルライフケア,19
株式会社ボンドワイエム,19
株式会社マルベリー,19
株式会社メディケア・リハビリ,19
株式会社リフシア,19
株式会社在宅支援センターふれあい,19
株式会社小田島アクティ,19
株式会社双泉メディカルケア,19
株式会社名鉄ライフサポート,19
工藤建設株式会社,19
合同会社縁,19
社会医療法人財団白十字会,19
社会医療法人駿甲会,19
社会医療法人祐愛会,19
社会福祉法人　賛育会,19
社会福祉法人　慈光会,19
社会福祉法人　春風会,19
社会福祉法人　信愛会,19
社会福祉法人　仁成福祉協会,19
社会福祉法人　明和会,19
社会福祉法人あそか会,19
社会福祉法人フロンティア,19
社会福祉法人みのり会,19
社会福祉法人やすらぎ会,19
社会福祉法人ユーアイ二十一,19
社会福祉法人葵新生会,19
社会福祉法人旭福祉会,19
社会福祉法人希望会,19
社会福祉法人駒どり,19
社会福祉法人群馬県社会福祉事業団,19
社会福祉法人恵仁会,19
社会福祉法人健仁会,19
社会福祉法人五常会,19
社会福祉法人功有会,19
社会福祉法人厚生会,19
社会福祉法人三和会,19
社会福祉法人瑞穂会,19
社会福祉法人聖徳会,19
社会福祉法人積善会,19
社会福祉法人双葉会,19
社会福祉法人津田福祉会,19
社会福祉法人天草市社会福祉協議会,19
社会福祉法人同塵会,19
社会福祉法人日の出福祉会,19
社会福祉法人博寿会,19
社会福祉法人博悠会,19
社会福祉法人八生会,19
社会福祉法人豊立会,19
社会福祉法人北信福祉会,19
社会福祉法人睦会,19
社会福祉法人練馬区社会福祉事業団,19
社会福祉法人和楽会,19
社会福祉法人萱垣会,19
社団医療法人啓愛会,19
生活協同組合コープこうべ,19
大分県農業協同組合,19
有限会社　ほほえみ,19
有限会社こころ,19
ＪＡ協同サポート山口株式会社,18
Ｋラインケア株式会社,18
アミコ株式会社,18
イツモスマイル株式会社,18
ウイズユー株式会社,18
ウェルフェアー株式会社,18
エア・ウォーター・ライフサポート株式会社,18
スギコー株式会社,18
スミリンフィルケア株式会社,18
テルウェル西日本株式会社,18
リハプライム株式会社,18
医療法人愛全会,18
医療法人共生会,18
医療法人啓和会,18
医療法人光仁会,18
医療法人社団国立あおやぎ会,18
医療法人社団城南会,18
医療法人社団長寿会,18
医療法人社団東光会,18
医療法人社団明和会,18
医療法人社団緑愛会,18
医療法人勝久会,18
医療法人良秀会,18
一般財団法人　名古屋市療養サービス事業団,18
一般財団法人高山市福祉サービス公社,18
株式会社　コスモメディカルサポート,18
株式会社　ゴトウ・アズ・プランニング,18
