		(millions of yen)
Deferred tax liabilities for land revaluation	70,652	70,197
Acceptances and guarantees	45,745	48,987
Total liabilities	35,913,694	32,130,808
NET ASSETS		
Capital stock	60,000	60,000
Capital surplus	320,000	320,000
Retained earnings	249,321	200,362
Total shareholders' equity	629,322	580,363
Net unrealized gains (losses) on securities, net of tax	2,130,413	1,523,596
Deferred hedge gains (losses)	-21,621	-37,654
Reserve for land revaluation	16,643	30,369
Foreign currency translation adjustments	-445	-525
Accumulated remeasurements of defined benefit plans	10,995	24,307
Total accumulated other comprehensive income	2,135,985	1,540,093
Total net assets	2,765,307	2,120,456
Total liabilities and net assets	38,679,002	34,251,265
		(millions of yen)
	Year ended	Year ended
	31-Mar-22	31-Mar-23
ORDINARY REVENUES	4,450,973	4,140,030
Premium and other income	2,276,222	2,297,086
Investment income	1,247,130	1,379,358
Interest and dividends	831,209	804,922
Gains on money held in trust	795	-
Gains on sale of securities	351,106	551,678
Gains on redemption of securities	20,207	18,763
Other investment income	2,410	3,993
Gains on investments in separate accounts	41,401	-
Other ordinary revenues	927,619	463,585
ORDINARY EXPENSES	4,072,541	3,787,626
Benefits and claims	3,015,988	2,451,381
Claims	637,451	682,450
Annuities	553,586	581,814
Benefits	427,247	575,987
Surrender values	544,342	503,395
Other refunds	853,361	107,734
Provision for policy reserves and others	44,859	22,906
Provision for reserves for outstanding claims	36,595	14,600
Provision for interest on policyholder dividends	8,264	8,305
Investment expenses	361,303	669,100
Interest expenses	10,375	9,759
Losses on money held in trust	-	39
Losses on sale of securities	221,597	433,394
Losses on valuation of securities	8,479	3,731
Losses on redemption of securities	3,545	5,629
Derivative transaction losses	38,627	16,971
Foreign exchange losses	10,113	81,871
Provision for reserve for possible loan losses	4,393	400
Provision for reserve for possible investment losses	247	486
Write-down of loans	41	57
Depreciation of real estate for rent and others	13,439	13,660
Other investment expenses	50,442	56,246
Losses on investments in separate accounts	-	46,852
Operating expenses	410,696	396,126
Other ordinary expenses	239,692	248,111
Ordinary profit	378,431	352,404
EXTRAORDINARY GAINS	10,402	4,548
Gains on disposal of fixed assets	10,402	4,548
EXTRAORDINARY LOSSES	33,425	34,486
Losses on disposal of fixed assets	12,506	5,503
Impairment losses on fixed assets	3,850	15,881
Provision for reserve for price fluctuations	17,000	13,000
Other extraordinary losses	68	101
Provision for reserve for policyholder dividends	87,500	95,000
Income before income taxes	267,909	227,467
Corporate income taxes-current	102,283	28,556
Corporate income taxes-deferred	-33,661	34,368
Total of corporate income taxes	68,622	62,925
Net income	199,287	164,542
Net income attributable to shareholders of parent company	199,287	164,542
		(millions of yen)
	Year ended	Year ended
	31-Mar-22	31-Mar-23
Net income	199,287	164,542
Other comprehensive income	-409,417	-609,618
Net unrealized gains (losses) on securities, net of tax	-406,195	-606,817
Deferred hedge gains (losses)	-18,119	-16,033
Reserve for land revaluation	-25	-
Foreign currency translation adjustments	-942	-79
Remeasurements of defined benefit plans, net of tax	15,864	13,311
Share of other comprehensive income of subsidiaries and affiliates accounted for under the		
	0	0
equity method		
Comprehensive income	-210,130	-445,076
Attributable to shareholders of parent company	-210,130	-445,076
