		(millions of yen)
Reserve for possible investment losses	-927	-448
Total assets	34,251,265	35,981,176
LIABILITIES		
Policy reserves and others	29,877,146	29,589,330
Reserves for outstanding claims	199,267	191,481
Policy reserves	29,254,475	28,975,206
Reserve for policyholder dividends	423,403	422,642
Reinsurance payable	428	456
Bonds payable	368,715	368,715
Other liabilities	1,141,293	2,146,268
Payables under repurchase agreements	304,005	1,082,401
Other liabilities	837,287	1,063,867
Net defined benefit liabilities	358,992	205,149
Reserve for retirement benefits of directors, executive officers and corporate auditors	794	674
Reserve for possible reimbursement of prescribed claims	800	1,000
Reserve for price fluctuations	263,453	276,453
Deferred tax liabilities	-	292,667
Deferred tax liabilities for land revaluation	70,197	69,064
Acceptances and guarantees	48,987	16,417
Total liabilities	32,130,808	32,966,198
NET ASSETS		
Capital stock	60,000	60,000
Capital surplus	320,000	248,560
Retained earnings	200,362	242,598
Total shareholders' equity	580,363	551,158
Net unrealized gains (losses) on securities, net of tax	1,523,596	2,420,163
Deferred hedge gains (losses)	-37,654	-103,039
Reserve for land revaluation	30,369	28,223
Foreign currency translation adjustments	-525	-279
Accumulated remeasurements of defined benefit plans	24,307	118,751
Total accumulated other comprehensive income	1,540,093	2,463,818
Total net assets	2,120,456	3,014,977
Total liabilities and net assets	34,251,265	35,981,176
		
		
	Year ended	Year ended
	31-Mar-23	31-Mar-24
ORDINARY REVENUES	4,140,030	4,090,389
Premium and other income	2,297,086	2,290,407
Investment income	1,379,358	1,303,949
Interest and dividends	804,922	720,205
Gains on money held in trust	-	2,155
Gains on sale of securities	551,678	418,537
Gains on redemption of securities	18,763	8,227
Reversal of reserve for possible investment losses	-	46
Other investment income	3,993	2,013
Gains on investments in separate accounts	-	152,763
Other ordinary revenues	463,585	496,033
ORDINARY EXPENSES	3,787,626	3,697,194
Benefits and claims	2,451,381	2,560,471
Claims	682,450	659,101
Annuities	581,814	602,316
Benefits	575,987	467,252
Surrender values	503,395	654,546
Other refunds	107,734	177,253
Provision for policy reserves and others	22,906	8,440
Provision for reserves for outstanding claims	14,600	-
Provision for interest on policyholder dividends	8,305	8,440
Investment expenses	669,100	491,785
Interest expenses	9,759	8,789
Losses on money held in trust	39	-
Losses on sale of securities	433,394	271,966
Losses on valuation of securities	3,731	3,204
Losses on redemption of securities	5,629	3,625
Derivative transaction losses	16,971	99,156
Foreign exchange losses	81,871	25,624
Provision for reserve for possible loan losses	400	1,816
Provision for reserve for possible investment losses	486	-
Write-down of loans	57	729
Depreciation of real estate for rent and others	13,660	14,029
Other investment expenses	56,246	62,845
Losses on investments in separate accounts	46,852	-
Operating expenses	396,126	386,433
Other ordinary expenses	248,111	250,063
Ordinary profit	352,404	393,195
EXTRAORDINARY GAINS	4,548	6,397
Gains on disposal of fixed assets	4,548	6,397
EXTRAORDINARY LOSSES	34,486	24,798
Losses on disposal of fixed assets	5,503	6,389
Impairment losses on fixed assets	15,881	5,307
Provision for reserve for price fluctuations	13,000	13,000
Other extraordinary losses	101	101
Provision for reserve for policyholder dividends	95,000	87,500
Income before income taxes	227,467	287,293
Corporate income taxes-current	28,556	67,075
Corporate income taxes-deferred	34,368	14,480
Total of corporate income taxes	62,925	81,556
Net income	164,542	205,737
Net income attributable to shareholders of parent company	164,542	205,737
		
		
		(millions of yen)
	Year ended	Year ended
	31-Mar-23	31-Mar-24
Net income	164,542	205,737
Other comprehensive income	-609,618	925,870
Net unrealized gains (losses) on securities, net of tax	-606,817	896,567
Deferred hedge gains (losses)	-16,033	-65,385
Foreign currency translation adjustments	-79	245
Remeasurements of defined benefit plans, net of tax	13,311	94,444
Share of other comprehensive income of subsidiaries and affiliates accounted for		
	0	0
under the equity method		
Comprehensive income	-445,076	1,131,608
Attributable to shareholders of parent company	-445,076	1,131,608
